timestamp,TILTING,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,STILL
1680894579028,100.0,,,,,,,
1680894579068,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680894607944,100.0,,,,,,,
1680894607983,,1.0,,,,,,99.0
1680894624966,,1.0,,,,,,99.0
1680894642041,,1.0,1.0,,,,,98.0
1680894660174,,1.0,,,,,,99.0
1680894677647,,1.0,2.0,,1.0,1.0,,96.0
1680894694503,,2.0,18.0,1.0,4.0,4.0,,72.0
1680894711573,,1.0,1.0,,,,,98.0
1680894728572,,2.0,2.0,,,,,96.0
1680894748777,,2.0,1.0,,,,,97.0
1680894765771,,1.0,1.0,,,,,97.0
1680894782806,,1.0,,,,,,99.0
1680894799784,,1.0,1.0,,,,,98.0
1680894816770,,1.0,1.0,,1.0,1.0,,96.0
1680894833823,,1.0,1.0,,1.0,1.0,,96.0
1680894850821,,2.0,2.0,,,,,96.0
1680894867819,,1.0,,,,,,99.0
1680894884844,,2.0,,,,,,98.0
1680894901889,,1.0,,,,,,99.0
1680894924009,,1.0,,,,,,99.0
1680894943593,,1.0,,,,,,99.0
1680894960617,,2.0,1.0,,,,,97.0
1680894977647,,2.0,1.0,,,,,97.0
1680894994628,,1.0,,,,,,99.0
1680895011648,,,2.0,,1.0,1.0,,96.0
1680895029380,,2.0,1.0,,,,,97.0
1680895046367,,1.0,,,,,,99.0
1680895063392,,1.0,,,,,,99.0
1680895080407,,1.0,,,,,,99.0
1680895518959,,,,,,,,100.0
1680898883476,,,,,,,,100.0
1680898886163,,,,,,,,100.0
1680898886427,,,,,,,,100.0
1680898886864,,,,,,,,100.0
1680904094757,,,,,,,,100.0
1680910193070,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680910214930,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680910240198,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680910262268,,2.0,,2.0,94.0,94.0,2.0,
1680910287591,,3.0,1.0,5.0,86.0,86.0,1.0,4.0
1680910312800,,2.0,2.0,2.0,17.0,17.0,,76.0
1680910334846,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680910354736,,3.0,1.0,2.0,90.0,90.0,,4.0
1680910380084,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680910398148,,2.0,1.0,,1.0,1.0,,96.0
1680910423406,,1.0,2.0,,2.0,2.0,,95.0
1680910438163,,1.0,,,,,,99.0
1680910458428,,2.0,9.0,2.0,14.0,14.0,,71.0
1680910478658,,1.0,1.0,,2.0,2.0,,96.0
1680910503924,,2.0,1.0,,1.0,1.0,,96.0
1680910529137,,2.0,,,1.0,1.0,,97.0
1680910553508,,1.0,1.0,,1.0,1.0,,97.0
1680910578775,,2.0,,,1.0,1.0,,97.0
1680910604043,,2.0,8.0,4.0,23.0,23.0,,59.0
1680910629255,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680910654466,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680910679972,,1.0,11.0,3.0,20.0,20.0,,63.0
1680910705184,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680910730454,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680910755331,,1.0,18.0,1.0,14.0,14.0,,63.0
1680910780548,,3.0,5.0,,4.0,4.0,,87.0
1680910805808,,2.0,16.0,,2.0,2.0,,79.0
1680910827668,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680910844675,,1.0,97.0,,,,,1.0
1680910869869,,1.0,90.0,,,,,1.0
