timestamp,TILTING,STILL,IN_VEHICLE,UNDEFINED,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680891477232,100.0,,,,,,,
1680891477267,,100.0,,,,,,
1680905917907,,100.0,,,,,,
1680909064036,100.0,,,,,,,
1680909064076,,100.0,,,,,,
1680909315274,,100.0,,,,,,
1680910569266,100.0,,,,,,,
1680910569285,,96.0,2.0,1.0,,,,
1680870956310,,98.0,1.0,1.0,,,,
1680870961363,,50.0,20.0,2.0,8.0,8.0,1.0,
1680870966394,,100.0,,,,,,
1680870971403,,100.0,,,,,,
1680870976480,,100.0,,,,,,
1680870981471,,100.0,,,,,,
1680870986520,,100.0,,,,,,
1680870991531,,100.0,,,,,,
1680870996569,,100.0,,,,,,
1680871001614,,100.0,,,,,,
1680871006630,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871011671,,,92.0,1.0,,,,
1680871028682,,,93.0,1.0,,,,
1680871045683,,,96.0,2.0,,,,
1680871062699,,,97.0,2.0,,,,
1680871079691,,,97.0,1.0,,,,
1680871096721,,,96.0,,,,,
1680871113760,,,91.0,1.0,,,,
1680871120151,,,96.0,1.0,,,,
1680871125205,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871142200,,,96.0,,,,,
1680871159120,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871176089,,,96.0,2.0,,,,
1680871196172,,,89.0,1.0,,,,
1680871201214,,,92.0,1.0,,,,
1680871206236,,,84.0,,,,,
1680871211259,,100.0,,,,,,
1680871216285,,100.0,,,,,,
1680871221317,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871226331,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871231372,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871248365,,,97.0,1.0,,,,
1680871265363,,,97.0,1.0,,,,
1680871282387,,,96.0,1.0,,,,
1680871299112,,,96.0,1.0,,,,
1680871305186,,,96.0,1.0,,,,
1680871310192,,,96.0,,,,,
1680871315246,,,90.0,,,,,
1680871320224,,100.0,,,,,,
1680871325252,,100.0,,,,,,
1680871330317,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871335343,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871352373,,,85.0,1.0,,,,
1680871371141,,,96.0,2.0,,,,
1680871376215,,,92.0,1.0,,,,
1680871381215,,,90.0,1.0,,,,
1680871386249,,1.0,92.0,1.0,,,,
1680871391255,,100.0,,,,,,
1680871396292,,100.0,,,,,,
1680871401321,,100.0,,,,,,
1680871406364,,48.0,20.0,1.0,12.0,12.0,2.0,
1680871411411,,,86.0,1.0,,,,
1680871425164,,,98.0,1.0,,,,
1680871430168,,1.0,96.0,1.0,,,,
1680871435204,,,96.0,1.0,,,,
1680871452195,,,96.0,1.0,,,,
1680871469091,,,96.0,2.0,,,,
1680871476145,,1.0,96.0,1.0,,,,
1680871481200,,2.0,96.0,,,,,
1680871486235,,,98.0,1.0,,,,
1680871491203,,100.0,,,,,,
1680871496248,,100.0,,,,,,
1680871501285,,100.0,,,,,,
1680871506315,,100.0,,,,,,
1680871511321,,100.0,,,,,,
1680871516364,,100.0,,,,,,
1680871521402,,100.0,,,,,,
1680871526426,,100.0,,,,,,
1680871531423,,100.0,,,,,,
1680871536488,,100.0,,,,,,
1680871541528,,100.0,,,,,,
1680871546566,,100.0,,,,,,
1680871551629,,100.0,,,,,,
1680871556617,,100.0,,,,,,
1680871561655,,100.0,,,,,,
1680871566714,,100.0,,,,,,
1680871571752,,100.0,,,,,,
1680871576776,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871581800,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871598836,,,91.0,1.0,,,,
1680871615871,,,97.0,1.0,,,,
1680871632203,,,96.0,1.0,,,,
1680871637227,,,97.0,,,,,
1680871642283,,,92.0,1.0,,,,
1680871647256,,100.0,,,,,,
1680871652312,,100.0,,,,,,
1680871657336,,100.0,,,,,,
1680871662365,,100.0,,,,,,
1680871667414,,100.0,,,,,,
1680871672423,,100.0,,,,,,
1680871677480,,100.0,,,,,,
1680871682494,,100.0,,,,,,
1680871687554,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871692571,,1.0,90.0,2.0,,,,
1680871709110,,,97.0,2.0,,,,
1680871726099,,,96.0,2.0,,,,
1680871738182,,,97.0,,,,,
1680871743201,,,95.0,1.0,,,,
1680871760188,,,97.0,,,,,
1680871771201,,,93.0,,,,,
1680871776207,,,96.0,1.0,,,,
1680871781270,,,96.0,1.0,,,,
1680871786290,,,96.0,,,,,
1680871803310,,,97.0,,,,,
1680871820298,,,96.0,2.0,,,,
1680871837294,,,97.0,2.0,,,,
1680871854092,,,97.0,,,,,
1680871871099,,,97.0,1.0,,,,
1680871888086,,,96.0,1.0,,,,
1680871905069,,,96.0,,,,,
1680871926164,,,90.0,1.0,,,,
1680871931180,,,91.0,1.0,,,,
1680871936210,,,90.0,1.0,,,,
1680871941186,,100.0,,,,,,
1680871946237,,100.0,,,,,,
1680871951268,,100.0,,,,,,
1680871956294,,100.0,,,,,,
1680871961294,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680871966362,,1.0,94.0,1.0,,,,
1680871983316,,,97.0,1.0,,,,
1680872000116,,,97.0,2.0,,,,
1680872018145,,,97.0,2.0,,,,
1680872039162,,1.0,96.0,1.0,,,,
1680872044177,,,96.0,1.0,,,,
1680872049220,,,97.0,1.0,,,,
1680872054227,,100.0,,,,,,
1680872059286,,44.0,23.0,1.0,11.0,11.0,2.0,
1680872064276,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872081277,,,96.0,1.0,,,,
1680872095137,,,96.0,2.0,,,,
1680872100395,,1.0,96.0,1.0,,,,
1680872105425,,,96.0,2.0,,,,
1680872110441,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872115460,,,92.0,2.0,,,,
1680872120512,,,97.0,1.0,,,,
1680872125570,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872130591,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872135619,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872140680,,,93.0,1.0,,,,
1680872145680,,1.0,89.0,1.0,,,,
1680872159622,100.0,,,,,,,
1680872159742,,,93.0,1.0,,,,
1680872164644,100.0,,,,,,,
1680872164775,100.0,,,,,,,
1680872164835,,,84.0,1.0,,,,
1680872169967,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872186756,100.0,,,,,,,
1680872186845,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872191945,,32.0,22.0,2.0,31.0,31.0,4.0,
1680872203284,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872223250,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872261829,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872317253,,34.0,31.0,3.0,12.0,12.0,3.0,
1680872322329,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872327285,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872332282,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872337368,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872342401,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872347398,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872352464,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872357504,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872362517,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872367538,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872372568,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872373014,100.0,,,,,,,
1680872385952,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872418547,100.0,,,,,,,
1680872418602,,2.0,89.0,2.0,1.0,1.0,,
1680872435533,,5.0,90.0,1.0,1.0,1.0,,
1680872457618,,1.0,95.0,2.0,,,,
1680872474631,,1.0,97.0,,,,,
1680872491622,,8.0,90.0,2.0,,,,
1680872503191,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872508206,,8.0,91.0,1.0,,,,
1680872525206,,16.0,83.0,1.0,,,,
1680872540041,100.0,,,,,,,
1680872540124,,16.0,81.0,2.0,,,,
1680872562445,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872577516,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872592670,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872607734,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872622838,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872637909,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872653107,,1.0,94.0,2.0,,,,
1680872670081,100.0,,,,,,,
1680872670104,,1.0,96.0,2.0,,,,
1680872675245,,1.0,95.0,1.0,,,,
1680872685180,,6.0,92.0,1.0,,,,
1680872690193,,9.0,87.0,2.0,,,,
1680872695256,,3.0,91.0,1.0,1.0,1.0,,
1680872700206,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872705453,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872722093,,,97.0,1.0,,,,
1680872739072,,1.0,96.0,1.0,,,,
1680872756059,,1.0,97.0,1.0,,,,
1680872774132,,1.0,96.0,1.0,,,,
1680872778413,100.0,,,,,,,
1680872778529,,3.0,95.0,1.0,,,,
1680872792504,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872814579,,1.0,92.0,2.0,,,,
1680872831145,,4.0,95.0,1.0,,,,
1680872848139,,,96.0,1.0,,,,
1680872856232,100.0,,,,,,,
1680872856358,,4.0,94.0,1.0,,,,
1680872862762,100.0,,,,,,,
1680872862884,,1.0,95.0,1.0,,,,
1680872876497,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872891543,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872910103,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872913481,100.0,,,,,,,
1680872913598,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872918746,,12.0,83.0,1.0,1.0,1.0,,
1680872923187,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872928189,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872933205,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872938198,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872943231,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872947600,100.0,,,,,,,
1680872947653,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872961637,100.0,,,,,,,
1680872961671,,10.0,10.0,40.0,10.0,10.0,10.0,10.0
1680872971701,,100.0,,,,,,
1680872981733,,100.0,,,,,,
1680872996944,,,92.0,2.0,,,,
1680873002083,,,96.0,1.0,,,,
1680873019138,,,88.0,,,,,
1680873034522,100.0,,,,,,,
1680873034646,,,92.0,1.0,,,,
1680873051672,100.0,,,,,,,
1680873051706,,2.0,91.0,2.0,,,,
1680873056844,,5.0,85.0,2.0,,,,
1680873073878,,1.0,86.0,1.0,1.0,1.0,,
1680873087124,,5.0,93.0,1.0,,,,
1680873092146,,5.0,93.0,,,,,
