timestamp,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,STILL,TILTING
1680888504527,40.0,10.0,10.0,10.0,10.0,10.0,10.0,
1680888521547,2.0,1.0,1.0,93.0,93.0,,2.0,
1680888538523,1.0,,,,,,99.0,
1680888560142,,,,,,,,100.0
1680888560160,1.0,8.0,5.0,30.0,30.0,1.0,49.0,
1680888577118,3.0,2.0,3.0,20.0,20.0,,72.0,
1680888594036,2.0,,,1.0,1.0,,97.0,
1680888611003,1.0,,,,,,99.0,
1680888627927,1.0,1.0,,1.0,1.0,,97.0,
1680888644847,1.0,,,1.0,1.0,,98.0,
1680888661818,1.0,,,1.0,1.0,,98.0,
1680888678739,1.0,1.0,,1.0,1.0,,97.0,
1680888695755,1.0,,,,,,99.0,
1680888712692,2.0,1.0,,,,,97.0,
1680888729663,2.0,,,1.0,1.0,,97.0,
1680888743016,2.0,,,1.0,1.0,,97.0,
1680888759945,2.0,1.0,,1.0,1.0,,96.0,
1680888776871,2.0,1.0,,1.0,1.0,,96.0,
1680888793820,2.0,,,,,,98.0,
1680888810757,2.0,,,,,,98.0,
1680888827682,2.0,,,1.0,1.0,,97.0,
1680888844722,,,,,,,,100.0
1680888844745,2.0,16.0,15.0,19.0,19.0,,41.0,
1680888861739,40.0,10.0,10.0,10.0,10.0,10.0,10.0,
1680888878782,,,,,,,,100.0
1680888878794,40.0,10.0,10.0,10.0,10.0,10.0,10.0,
1680888896065,1.0,,,,,,99.0,
1680888912926,,,,,,,,100.0
1680888912951,1.0,1.0,,1.0,1.0,,97.0,
1680888925997,1.0,,,,,,99.0,
1680888943011,2.0,7.0,26.0,10.0,10.0,,49.0,
1680888959998,3.0,1.0,6.0,2.0,2.0,,87.0,
1680888976978,,,,,,,,100.0
1680888976996,2.0,1.0,,1.0,1.0,,96.0,
1680888993933,2.0,,,,,,98.0,
1680889010879,3.0,,1.0,,,,96.0,
1680889027831,2.0,8.0,14.0,13.0,13.0,,58.0,
1680889044778,1.0,,,,,,99.0,
1680889061803,2.0,26.0,10.0,9.0,9.0,,44.0,
1680889078730,2.0,1.0,,1.0,1.0,,96.0,
1680889095669,1.0,,1.0,1.0,1.0,,97.0,
1680889108823,1.0,,1.0,1.0,1.0,,97.0,
1680889125808,2.0,,,,,,98.0,
1680889142758,2.0,10.0,16.0,7.0,7.0,,56.0,
1680889159753,,,,,,,,100.0
1680889159777,1.0,,,,,,99.0,
1680889176878,1.0,,,,,,99.0,
1680889193976,1.0,,,,,,99.0,
1680889211079,1.0,,,,,,99.0,
1680889228183,1.0,,,,,,99.0,
1680889246739,1.0,,,,,,99.0,
1680889264746,1.0,,,,,,99.0,
1680889281831,1.0,,,,,,99.0,
1680889300716,2.0,1.0,,,,,97.0,
1680889318741,1.0,,,,,,99.0,
1680889335822,1.0,,,,,,99.0,
1680889353730,1.0,,,,,,99.0,
1680889370823,1.0,,,,,,99.0,
1680889388762,1.0,,,,,,99.0,
1680895110634,,,,,,,100.0,
1680902602724,,,,,,,100.0,
1680911523543,,,,,,,,100.0
1680911523565,1.0,,,1.0,1.0,,98.0,
1680872456662,,,,,,,,100.0
1680872456662,40.0,10.0,10.0,10.0,10.0,10.0,10.0,
1680872493987,,,,,,,,100.0
1680872494007,3.0,3.0,,,,,94.0,
1680872511924,,,,,,,,100.0
1680872511964,2.0,26.0,2.0,10.0,10.0,,45.0,
1680872528960,1.0,,,,,,99.0,
1680872545937,1.0,,,,,,99.0,
1680872562930,1.0,2.0,,,,,97.0,
1680872579931,1.0,,,,,,99.0,
1680872596944,1.0,,,,,,99.0,
1680872613963,1.0,7.0,,1.0,1.0,,89.0,
1680872630960,1.0,,,,,,99.0,
1680872646424,1.0,,,,,,99.0,
1680872663467,,,,,,,,100.0
1680872663492,1.0,,,1.0,1.0,,98.0,
1680872680513,40.0,10.0,10.0,10.0,10.0,10.0,10.0,
1680872697535,3.0,14.0,10.0,22.0,22.0,,40.0,
1680872714511,,,,,,,,100.0
