timestamp,STILL,UNDEFINED,IN_VEHICLE,TILTING,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680889234840,99.0,1.0,,,,,,
1680896462760,99.0,1.0,,,,,,
1680906055768,96.0,1.0,3.0,,,,,
1680907640685,99.0,1.0,,,,,,
1680907954219,99.0,1.0,,,,,,
1680908269575,99.0,1.0,,,,,,
1680908584961,99.0,1.0,,,,,,
1680908898500,99.0,1.0,,,,,,
1680909002993,99.0,1.0,,,,,,
1680909319223,,,,100.0,,,,
1680909319277,99.0,1.0,,,,,,
1680909720777,99.0,1.0,,,,,,
1680909901929,99.0,1.0,,,,,,
1680909918948,,,,100.0,,,,
1680909918967,97.0,2.0,1.0,,,,,
1680909935518,97.0,1.0,1.0,,,,,
1680874387606,,,,100.0,,,,
1680874387656,44.0,2.0,25.0,,9.0,9.0,5.0,
1680874421235,,,,100.0,,,,
1680874421310,98.0,2.0,,,,,,
1680874821629,99.0,1.0,,,,,,
1680875221974,99.0,1.0,,,,,,
1680875410597,99.0,1.0,,,,,,
1680875427578,96.0,2.0,1.0,,1.0,1.0,,
1680875756679,100.0,,,,,,,
1680875835645,,,,100.0,,,,
1680875835700,100.0,,,,,,,
1680875864550,98.0,1.0,1.0,,,,,
1680876266812,,,,100.0,,,,
1680876266926,99.0,1.0,,,,,,
1680876580630,99.0,1.0,,,,,,
1680876894558,99.0,1.0,,,,,,
1680877208602,99.0,1.0,,,,,,
1680863393105,97.0,,1.0,,1.0,1.0,,
1680866726935,99.0,1.0,,,,,,
1680867444827,96.0,1.0,1.0,,1.0,1.0,,
1680867461832,,,,100.0,,,,
1680867461887,98.0,1.0,1.0,,,,,
1680867478892,96.0,1.0,2.0,,1.0,1.0,,
1680867495897,44.0,1.0,27.0,,16.0,16.0,4.0,
1680870011575,,,,100.0,,,,
1680870011624,47.0,2.0,24.0,,8.0,8.0,1.0,
1680870028627,,,,100.0,,,,
1680870028658,91.0,,7.0,,1.0,1.0,,
1680870400759,,,,100.0,,,,
1680870400876,,2.0,,,97.0,97.0,,1.0
1680836981974,99.0,1.0,,,,,,
1680837383014,99.0,1.0,,,,,,
1680837697091,99.0,1.0,,,,,,
1680837899056,98.0,1.0,1.0,,,,,
1680837916063,,,,100.0,,,,
1680837916098,99.0,1.0,,,,,,
1680837933124,97.0,1.0,2.0,,,,,
1680837950104,97.0,1.0,1.0,,1.0,1.0,,
1680837967125,96.0,2.0,2.0,,,,,
1680837984104,97.0,2.0,1.0,,,,,
1680838001112,99.0,1.0,,,,,,
1680838018118,96.0,1.0,3.0,,,,,
1680838035156,54.0,2.0,31.0,,5.0,5.0,1.0,
1680838052197,99.0,1.0,,,,,,
1680838069228,99.0,1.0,,,,,,
1680838083418,99.0,1.0,,,,,,
1680838100436,99.0,1.0,,,,,,
1680838117450,99.0,1.0,,,,,,
1680838134476,99.0,1.0,,,,,,
1680838151521,99.0,1.0,,,,,,
1680838361863,97.0,3.0,,,,,,
1680838379416,99.0,1.0,,,,,,
1680838395833,96.0,2.0,1.0,,1.0,1.0,,
1680838412820,98.0,1.0,1.0,,,,,
1680838429813,97.0,1.0,1.0,,1.0,1.0,,
1680838446800,97.0,1.0,1.0,,1.0,1.0,,
1680838463799,96.0,2.0,1.0,,1.0,1.0,,
1680838480763,97.0,2.0,1.0,,,,,
1680838497779,96.0,2.0,1.0,,1.0,1.0,,
1680838514772,97.0,2.0,1.0,,,,,
1680838531767,,,,100.0,,,,
1680838531797,77.0,3.0,12.0,,4.0,4.0,1.0,
1680838548804,,,,100.0,,,,
1680838548843,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838561822,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838578812,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838595798,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838612796,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838629805,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838646785,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838663794,45.0,2.0,10.0,,12.0,12.0,24.0,1.0
1680838680825,71.0,2.0,4.0,,8.0,8.0,13.0,
1680838697851,53.0,3.0,10.0,,16.0,16.0,11.0,
1680838714745,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838731773,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838744709,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838761727,49.0,3.0,3.0,,38.0,38.0,5.0,
1680838778708,77.0,2.0,1.0,,9.0,9.0,11.0,
1680838795688,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838812701,97.0,1.0,,,1.0,1.0,1.0,
1680838829721,51.0,3.0,4.0,,28.0,28.0,11.0,
1680838846725,98.0,1.0,,,1.0,1.0,,
1680838863738,91.0,2.0,,,6.0,6.0,1.0,
1680838880759,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838897788,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838914788,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838927625,33.0,2.0,9.0,,23.0,23.0,26.0,
1680838944689,77.0,3.0,3.0,,13.0,13.0,3.0,
1680838961708,66.0,2.0,2.0,,21.0,21.0,8.0,
1680838978733,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680838995784,44.0,2.0,4.0,,33.0,33.0,14.0,1.0
1680839012805,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680839029841,98.0,1.0,,,1.0,1.0,,
1680839046840,96.0,3.0,,,1.0,1.0,,
1680839063807,98.0,1.0,,,1.0,1.0,,
1680839080853,89.0,2.0,,,8.0,8.0,1.0,
1680839097836,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680839110535,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680839127532,97.0,1.0,,,2.0,2.0,,
1680839144509,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680839161523,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680839178561,58.0,3.0,1.0,,32.0,32.0,5.0,
1680839195554,68.0,2.0,2.0,,18.0,18.0,9.0,
1680839212576,69.0,2.0,2.0,,6.0,6.0,19.0,
1680839229611,88.0,2.0,2.0,,3.0,3.0,3.0,
1680839246586,59.0,2.0,9.0,,16.0,16.0,10.0,
1680839263605,,,,100.0,,,,
1680839263650,57.0,4.0,4.0,,6.0,6.0,26.0,
1680839280638,33.0,3.0,18.0,,16.0,16.0,11.0,5.0
1680839293420,36.0,2.0,23.0,,4.0,4.0,23.0,1.0
1680839310443,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680839327464,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680839344477,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680839361485,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680839378491,10.0,40.0,10.0,,10.0,10.0,10.0,10.0
1680839395512,,,,100.0,,,,
1680839395553,47.0,2.0,7.0,,15.0,15.0,20.0,7.0
1680839412549,84.0,2.0,2.0,,5.0,5.0,5.0,
1680839429543,99.0,1.0,,,,,,
1680839446531,99.0,1.0,,,,,,
1680839464781,99.0,1.0,,,,,,
