timestamp,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,TILTING
1680904042172,100.0,,,,,,,
1680907336459,100.0,,,,,,,
1680872652427,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872652429,,,,,,,,100.0
1680872680022,,,,,,,,100.0
1680872680070,2.0,1.0,1.0,2.0,89.0,89.0,5.0,
1680872712941,,,,,,,,100.0
1680872713003,,2.0,,1.0,94.0,94.0,3.0,
1680872745674,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872778315,,,,,,,,100.0
1680872778356,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872811059,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872845205,,,,,,,,100.0
1680872845283,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872880230,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872913875,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872948548,,,,,,,,100.0
1680872948619,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680872973065,,,,,,,,100.0
1680872973391,100.0,,,,,,,
1680872997660,100.0,,,,,,,
1680873021853,100.0,,,,,,,
1680873046049,100.0,,,,,,,
1680873071250,100.0,,,,,,,
1680873096032,100.0,,,,,,,
1680873120235,100.0,,,,,,,
1680873145064,100.0,,,,,,,
1680873169553,100.0,,,,,,,
1680873194032,100.0,,,,,,,
1680873218553,100.0,,,,,,,
1680873243090,100.0,,,,,,,
1680873268112,100.0,,,,,,,
1680873292566,100.0,,,,,,,
1680873317560,100.0,,,,,,,
1680873342033,100.0,,,,,,,
1680873367025,100.0,,,,,,,
1680873392058,100.0,,,,,,,
1680873417107,100.0,,,,,,,
1680873442097,100.0,,,,,,,
1680873467114,100.0,,,,,,,
1680873946982,100.0,,,,,,,
1680874262286,,,,,,,,100.0
1680874262345,100.0,,,,,,,
1680874579553,100.0,,,,,,,
1680875206971,100.0,,,,,,,
1680876254641,,,,,,,,100.0
1680876254758,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876287532,,,,,,,,100.0
1680876287586,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876321010,,,,,,,,100.0
1680876321060,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876353758,,,,,,,,100.0
1680876353814,,2.0,4.0,86.0,4.0,4.0,1.0,
1680876387324,,3.0,1.0,3.0,92.0,92.0,1.0,
1680876419972,,2.0,,2.0,96.0,96.0,,
1680876453749,1.0,1.0,,1.0,96.0,96.0,1.0,
1680876478080,1.0,2.0,,1.0,96.0,96.0,,
1680876510547,,1.0,1.0,2.0,93.0,93.0,2.0,
1680876543551,,3.0,,,97.0,97.0,,
1680876576254,1.0,4.0,1.0,4.0,88.0,88.0,2.0,
1680876604365,,2.0,,,98.0,98.0,,
1680876637831,,1.0,1.0,1.0,97.0,97.0,,
1680876670555,,,,,,,,100.0
1680876670613,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876703307,,,,,,,,100.0
1680876703355,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876736575,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876771091,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876803790,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876837147,,,,,,,,100.0
1680876837191,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876869907,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876902622,46.0,1.0,38.0,5.0,4.0,4.0,,
1680876939740,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680876972407,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680877005132,53.0,2.0,33.0,5.0,3.0,3.0,,
1680877029367,99.0,1.0,,,,,,
1680877062060,51.0,2.0,28.0,4.0,5.0,5.0,,
1680877086286,100.0,,,,,,,
1680877114407,100.0,,,,,,,
1680877147094,100.0,,,,,,,
1680877171295,100.0,,,,,,,
1680877203967,62.0,2.0,25.0,2.0,4.0,4.0,,
1680877228237,100.0,,,,,,,
1680877261399,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680866490359,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680866524667,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680866557571,,,,,,,,100.0
1680866557623,1.0,1.0,,97.0,1.0,1.0,,
1680866583446,,1.0,,99.0,,,,
1680866616206,,1.0,,99.0,,,,
1680866648911,,,,,,,,100.0
1680866648966,,1.0,9.0,90.0,,,,
1680866681660,1.0,1.0,4.0,78.0,14.0,14.0,1.0,
1680866705887,,,,100.0,,,,
1680866737635,,2.0,1.0,97.0,,,,
1680866770438,,1.0,,99.0,,,,
1680866804086,,,,,,,,100.0
1680866804133,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680866838447,,,,,,,,100.0
1680866838582,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680866866385,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680866902905,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680866927121,,,,,,,,100.0
1680866927174,99.0,1.0,,,,,,
1680866951401,100.0,,,,,,,
1680866976007,100.0,,,,,,,
1680867001073,100.0,,,,,,,
1680867026096,100.0,,,,,,,
1680867050932,100.0,,,,,,,
1680867083581,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867112269,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867144661,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867168828,,,,,,,,100.0
1680867168884,100.0,,,,,,,
1680867193070,100.0,,,,,,,
1680867217285,100.0,,,,,,,
1680867242083,100.0,,,,,,,
1680867266336,100.0,,,,,,,
1680867299149,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867332019,,,,,,,,100.0
1680867332074,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867365766,,,,,,,,100.0
1680867365801,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867398628,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867431273,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680867463989,97.0,1.0,2.0,,,,,
