timestamp,STILL,TILTING,ON_FOOT,WALKING,IN_VEHICLE,ON_BICYCLE,UNDEFINED,RUNNING
1680889264752,100.0,,,,,,,
1680890868576,,100.0,,,,,,
1680890868747,40.0,,26.0,26.0,16.0,5.0,3.0,1.0
1680890885831,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680890896204,47.0,,17.0,17.0,26.0,2.0,3.0,
1680890900410,53.0,,10.0,10.0,31.0,2.0,2.0,
1680890905622,60.0,,5.0,5.0,32.0,,2.0,
1680890910759,97.0,,,,2.0,,1.0,
1680890917224,97.0,,1.0,1.0,1.0,,1.0,
1680890932391,99.0,,,,,,1.0,
1680890947548,98.0,,,,,,2.0,
1680890962583,85.0,,6.0,6.0,6.0,1.0,1.0,
1680890967712,31.0,,25.0,25.0,27.0,5.0,2.0,
1680890983243,74.0,,7.0,7.0,9.0,3.0,3.0,
1680891000179,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680891015312,,100.0,,,,,,
1680891015333,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680891030458,78.0,,5.0,5.0,6.0,4.0,2.0,
1680891035585,97.0,,1.0,1.0,1.0,,1.0,
1680891040704,,100.0,,,,,,
1680891040731,35.0,,31.0,31.0,13.0,7.0,3.0,
1680891055943,,100.0,,,,,,
1680891055966,37.0,,23.0,23.0,21.0,4.0,2.0,1.0
1680891071138,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680891086315,99.0,,,,,,1.0,
1680891101488,99.0,,,,,,1.0,
1680891106638,99.0,,,,,,1.0,
1680891111777,99.0,,,,,,1.0,
1680891116919,99.0,,,,,,1.0,
1680891122076,99.0,,,,,,1.0,
1680891127225,99.0,,,,,,1.0,
1680891132404,99.0,,,,,,1.0,
1680891137599,99.0,,,,,,1.0,
1680891142743,99.0,,,,,,1.0,
1680891147909,99.0,,,,,,1.0,
1680891153079,99.0,,,,,,1.0,
1680891158298,99.0,,,,,,1.0,
1680891175075,99.0,,,,,,1.0,
1680891188627,,100.0,,,,,,
1680891188658,96.0,,,,2.0,,2.0,
1680891203824,99.0,,,,,,1.0,
1680891218988,99.0,,,,,,1.0,
1680891224139,99.0,,,,,,1.0,
1680891229263,99.0,,,,,,1.0,
1680891234345,,100.0,,,,,,
1680891234376,97.0,,1.0,1.0,1.0,,1.0,
1680891240149,,100.0,,,,,,
1680891240181,97.0,,,,1.0,,2.0,
1680891245398,99.0,,,,1.0,,,
1680891250567,99.0,,,,,,1.0,
1680891255724,99.0,,,,,,1.0,
1680891260910,99.0,,,,,,1.0,
1680891266102,99.0,,,,,,1.0,
1680891271244,99.0,,,,,,1.0,
1680891276367,99.0,,,,,,1.0,
1680891281558,99.0,,,,,,1.0,
1680891296703,98.0,,,,1.0,,1.0,
1680891311938,96.0,,1.0,1.0,1.0,,2.0,
1680891327936,96.0,,2.0,2.0,,,2.0,
1680891333147,98.0,,,,,,2.0,
1680891338920,97.0,,1.0,1.0,1.0,,1.0,
1680891354909,,100.0,,,,,,
1680891354949,61.0,,11.0,11.0,12.0,11.0,2.0,
1680891370942,,100.0,,,,,,
1680891370970,42.0,,19.0,19.0,12.0,22.0,2.0,
1680891386963,,100.0,,,,,,
1680891386982,54.0,,27.0,27.0,4.0,12.0,1.0,
1680891398026,,100.0,,,,,,
1680891398076,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680891403984,57.0,,25.0,25.0,4.0,9.0,1.0,1.0
1680891409897,98.0,,,,,,2.0,
1680891415904,99.0,,,,,,1.0,
1680891421085,99.0,,,,,,1.0,
1680891426303,97.0,,,,1.0,,2.0,
1680891431943,,100.0,,,,,,
1680891431970,96.0,,1.0,1.0,1.0,,1.0,
1680891437899,96.0,,2.0,2.0,,,2.0,
1680891443919,98.0,,1.0,1.0,,,1.0,
