timestamp,TILTING,STILL,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,UNDEFINED,RUNNING
1680888517575,100.0,,,,,,,
1680888517631,,100.0,,,,,,
1680888885810,100.0,,,,,,,
1680888885853,,56.0,14.0,11.0,11.0,6.0,2.0,
1680888908669,,64.0,12.0,10.0,10.0,7.0,2.0,
1680889212188,100.0,,,,,,,
1680889212245,,100.0,,,,,,
1680889570895,,100.0,,,,,,
1680889937722,100.0,,,,,,,
1680889937778,,42.0,25.0,10.0,10.0,4.0,1.0,
1680889964794,,100.0,,,,,,
1680889999553,,100.0,,,,,,
1680890285012,,100.0,,,,,,
1680890597239,,99.0,,,,,1.0,
1680890956230,100.0,,,,,,,
1680890956279,,100.0,,,,,,
1680891323431,100.0,,,,,,,
1680891323489,,100.0,,,,,,
1680891673744,,98.0,,,,,2.0,
1680892011970,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892029793,,100.0,,,,,,
1680892040173,100.0,,,,,,,
1680892040218,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892045430,,96.0,1.0,,,1.0,1.0,
1680892050632,,96.0,1.0,,,,2.0,
1680892055936,,60.0,10.0,13.0,13.0,8.0,2.0,
1680892061202,,54.0,18.0,3.0,3.0,7.0,3.0,
1680892066493,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892071788,,33.0,23.0,12.0,12.0,8.0,1.0,
1680892077078,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892082349,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892087640,,65.0,11.0,12.0,12.0,3.0,1.0,
1680892093063,,36.0,16.0,27.0,27.0,5.0,2.0,
1680892098292,,36.0,16.0,28.0,28.0,5.0,2.0,
1680892103569,,44.0,25.0,14.0,14.0,4.0,2.0,
1680892108857,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892116017,,39.0,17.0,23.0,23.0,5.0,2.0,
1680892121272,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892126643,,39.0,20.0,15.0,15.0,6.0,2.0,
1680892131819,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892137152,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892142460,,31.0,19.0,27.0,27.0,5.0,2.0,
1680892147739,,43.0,11.0,25.0,25.0,12.0,1.0,1.0
1680892153014,,62.0,8.0,13.0,13.0,8.0,3.0,
1680892158285,100.0,,,,,,,
1680892158343,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892168559,,99.0,,,,,1.0,
1680892173637,,100.0,,,,,,
1680892188930,,100.0,,,,,,
1680892204268,,96.0,1.0,1.0,1.0,,1.0,
1680892219605,,99.0,,,,,1.0,
1680892234937,,99.0,,,,,1.0,
1680892250270,,98.0,,,,,2.0,
1680892265608,,99.0,,,,,1.0,
1680892278775,,99.0,,,,,1.0,
1680892294169,,97.0,,2.0,2.0,,1.0,
1680892309610,,99.0,,,,,1.0,
1680892324985,100.0,,,,,,,
1680892325024,,83.0,2.0,5.0,5.0,6.0,3.0,
1680892360351,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680892661838,100.0,,,,,,,
1680892661883,,100.0,,,,,,
1680892972269,,100.0,,,,,,
1680893278130,,100.0,,,,,,
1680893637018,,100.0,,,,,,
1680893994420,,100.0,,,,,,
1680894354723,,100.0,,,,,,
1680894659745,,100.0,,,,,,
1680895018743,,100.0,,,,,,
1680895358404,,100.0,,,,,,
1680895717257,,100.0,,,,,,
1680896076094,,100.0,,,,,,
1680896434973,,100.0,,,,,,
1680896759232,,100.0,,,,,,
1680897118212,,100.0,,,,,,
1680897448426,,100.0,,,,,,
1680897748509,,100.0,,,,,,
1680898107199,,100.0,,,,,,
1680898466812,,100.0,,,,,,
1680898824903,,100.0,,,,,,
1680899181385,,100.0,,,,,,
1680899802740,,100.0,,,,,,
1680900148766,,100.0,,,,,,
1680900493276,,100.0,,,,,,
1680900852374,,100.0,,,,,,
1680901211951,,100.0,,,,,,
1680901521660,,100.0,,,,,,
1680901876716,,100.0,,,,,,
1680902239682,,100.0,,,,,,
1680902599308,,100.0,,,,,,
1680902958731,,100.0,,,,,,
1680903268541,,100.0,,,,,,
1680903568748,,100.0,,,,,,
1680903882188,,100.0,,,,,,
1680904241448,,100.0,,,,,,
1680904601860,,100.0,,,,,,
1680904948429,,100.0,,,,,,
1680905245342,,100.0,,,,,,
1680905548737,,100.0,,,,,,
1680905848746,,100.0,,,,,,
1680906208719,,100.0,,,,,,
1680906567757,,100.0,,,,,,
1680906926429,,100.0,,,,,,
1680907247685,,100.0,,,,,,
1680907607933,,100.0,,,,,,
1680907966435,,100.0,,,,,,
1680908602753,,100.0,,,,,,
1680908603858,,100.0,,,,,,
1680908604035,,100.0,,,,,,
1680908968760,,100.0,,,,,,
1680909277843,,100.0,,,,,,
1680909592474,,100.0,,,,,,
1680909954216,,100.0,,,,,,
1680910315748,,100.0,,,,,,
1680910648231,,100.0,,,,,,
1680910944857,,100.0,,,,,,
1680911243430,,100.0,,,,,,
1680911607681,,100.0,,,,,,
1680911965008,,100.0,,,,,,
1680871760841,,100.0,,,,,,
1680872408527,100.0,,,,,,,
1680872408588,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680872439293,,100.0,,,,,,
1680872454635,,68.0,6.0,13.0,13.0,10.0,1.0,
1680872469761,,97.0,1.0,1.0,1.0,,1.0,
1680872484927,,97.0,1.0,,,,2.0,
1680872500270,,97.0,,1.0,1.0,,2.0,
1680872515656,,99.0,,,,,1.0,
1680872547855,100.0,,,,,,,
1680872547932,,41.0,7.0,28.0,28.0,17.0,2.0,1.0
1680872583900,100.0,,,,,,,
1680872583964,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680872589215,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680872604614,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680872619805,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680872635148,,3.0,1.0,88.0,88.0,4.0,2.0,2.0
1680872649866,,2.0,2.0,91.0,91.0,2.0,1.0,1.0
1680872695970,,2.0,2.0,88.0,88.0,3.0,1.0,2.0
1680872723171,,,,97.0,97.0,,3.0,
1680872738303,,,,97.0,97.0,,3.0,
1680872754627,,1.0,,96.0,96.0,,3.0,
1680872772490,100.0,,,,,,,
1680872772565,,1.0,,94.0,94.0,,3.0,2.0
1680872780839,,1.0,,95.0,95.0,,3.0,1.0
1680872802399,,100.0,,,,,,
1680872807663,,45.0,19.0,10.0,10.0,7.0,3.0,
1680872985355,100.0,,,,,,,
1680872985397,,100.0,,,,,,
1680872995961,,98.0,1.0,,,,1.0,
1680873014093,,99.0,,,,,1.0,
1680873040656,100.0,,,,,,,
1680873040666,,100.0,,,,,,
1680873067435,,1.0,88.0,2.0,2.0,4.0,2.0,
1680873077824,,1.0,90.0,2.0,2.0,1.0,2.0,
1680873093097,,3.0,93.0,1.0,1.0,,1.0,
1680873141605,,59.0,17.0,8.0,8.0,3.0,3.0,
1680873150081,,62.0,15.0,9.0,9.0,3.0,1.0,
1680873171134,100.0,,,,,,,
1680873171178,,97.0,,,,,3.0,
1680873181468,,45.0,21.0,18.0,18.0,4.0,2.0,
1680873186715,,99.0,,,,,1.0,
1680873194175,,99.0,,,,,1.0,
1680873315709,,97.0,1.0,,,,1.0,
1680873334600,,100.0,,,,,,
1680873350154,,99.0,,,,,1.0,
1680873365503,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680873379074,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680873397077,,35.0,13.0,29.0,29.0,13.0,1.0,1.0
1680873663974,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680873800111,,100.0,,,,,,
1680873812500,100.0,,,,,,,
1680873812517,,99.0,,,,,1.0,
1680873827982,,96.0,1.0,1.0,1.0,,1.0,
1680873843388,,98.0,1.0,,,,1.0,
1680873857070,,95.0,3.0,,,,1.0,
1680873873714,,97.0,1.0,,,,1.0,
1680873894663,,100.0,,,,,,
1680873917582,,100.0,,,,,,
