timestamp,STILL,TILTING,ON_FOOT,WALKING,UNDEFINED,IN_VEHICLE,ON_BICYCLE,RUNNING
1680892755481,100.0,,,,,,,
1680904028793,100.0,,,,,,,
1680908393645,100.0,,,,,,,
1680910341452,100.0,,,,,,,
1680876833878,,100.0,,,,,,
1680876834140,,,97.0,97.0,3.0,,,
1680876870972,,100.0,,,,,,
1680876870979,100.0,,,,,,,
1680876887300,99.0,,,,1.0,,,
1680876905079,99.0,,,,1.0,,,
1680876928253,,100.0,,,,,,
1680876928277,45.0,,22.0,22.0,2.0,17.0,2.0,
1680876944790,,100.0,,,,,,
1680876944815,10.0,,10.0,10.0,40.0,10.0,10.0,10.0
1680876963058,,100.0,,,,,,
1680876963081,10.0,,10.0,10.0,40.0,10.0,10.0,10.0
1680876980102,10.0,,10.0,10.0,40.0,10.0,10.0,10.0
1680876995326,,100.0,,,,,,
1680876995351,10.0,,10.0,10.0,40.0,10.0,10.0,10.0
1680877012306,,100.0,,,,,,
1680877012348,10.0,,83.0,83.0,2.0,1.0,2.0,2.0
1680877029322,,100.0,,,,,,
1680877029346,2.0,,93.0,93.0,2.0,1.0,1.0,1.0
1680877046319,,100.0,,,,,,
1680877046346,1.0,,92.0,92.0,2.0,,3.0,2.0
1680877063324,99.0,,,,1.0,,,
1680877080324,84.0,,3.0,3.0,1.0,6.0,,
1680877097267,,100.0,,,,,,
1680877097277,7.0,,86.0,86.0,3.0,1.0,3.0,
1680877116062,,,86.0,86.0,2.0,,,12.0
1680877133041,,100.0,,,,,,
1680877133065,10.0,,10.0,10.0,40.0,10.0,10.0,10.0
1680877150031,,100.0,,,,,,
1680877150046,5.0,,82.0,82.0,2.0,1.0,4.0,6.0
1680877168123,,100.0,,,,,,
1680877168141,1.0,,92.0,92.0,2.0,,2.0,3.0
1680877186045,1.0,,97.0,97.0,2.0,,,
1680877203578,1.0,,96.0,96.0,2.0,,1.0,
1680877225291,,100.0,,,,,,
1680877225310,1.0,,96.0,96.0,1.0,,,2.0
1680877242310,1.0,,95.0,95.0,2.0,,,2.0
1680877259892,4.0,,83.0,83.0,2.0,1.0,2.0,8.0
1680877276904,3.0,,85.0,85.0,2.0,3.0,4.0,2.0
1680877293902,,100.0,,,,,,
1680877293928,1.0,,88.0,88.0,1.0,1.0,6.0,3.0
1680863054166,10.0,,10.0,10.0,40.0,10.0,10.0,10.0
1680863077064,,100.0,,,,,,
1680863077077,50.0,,2.0,2.0,2.0,41.0,,
1680863094979,,100.0,,,,,,
1680863094991,99.0,,,,1.0,,,
1680863111774,,100.0,,,,,,
1680863111813,97.0,,1.0,1.0,2.0,,,
1680863128749,99.0,,,,1.0,,,
1680863145728,96.0,,1.0,1.0,2.0,1.0,,
1680863162721,,100.0,,,,,,
1680863162749,93.0,,3.0,3.0,1.0,2.0,1.0,
1680863179739,99.0,,,,1.0,,,
1680863196728,47.0,,22.0,22.0,2.0,3.0,24.0,
1680863213716,51.0,,29.0,29.0,2.0,4.0,11.0,
1680863230709,97.0,,1.0,1.0,2.0,,,
1680863247723,84.0,,8.0,8.0,1.0,1.0,6.0,
1680863264707,99.0,,,,1.0,,,
1680863281680,99.0,,,,1.0,,,
1680863298644,97.0,,1.0,1.0,2.0,,,
1680863315643,99.0,,,,1.0,,,
1680863332603,98.0,,1.0,1.0,1.0,,,
1680863349582,78.0,,13.0,13.0,2.0,2.0,4.0,
1680863366565,10.0,,10.0,10.0,40.0,10.0,10.0,10.0
1680863383525,30.0,,22.0,22.0,1.0,25.0,12.0,1.0
1680863400519,76.0,,9.0,9.0,1.0,3.0,9.0,
1680863417510,98.0,,,,2.0,,,
1680863434482,98.0,,,,1.0,1.0,,
1680863454794,97.0,,,,1.0,1.0,,
1680863471768,61.0,,13.0,13.0,2.0,7.0,12.0,
1680863488733,99.0,,,,1.0,,,
1680863505702,99.0,,,,1.0,,,
1680863522667,99.0,,,,1.0,,,
1680863539618,98.0,,,,1.0,1.0,,
1680863556618,97.0,,1.0,1.0,,1.0,,
1680863573587,98.0,,,,2.0,,,
1680863590556,90.0,,1.0,1.0,3.0,3.0,,
1680863607553,10.0,,10.0,10.0,40.0,10.0,10.0,10.0
1680863629795,,100.0,,,,,,
1680863629809,10.0,,10.0,10.0,40.0,10.0,10.0,10.0
1680863646778,86.0,,5.0,5.0,2.0,5.0,,
1680863663727,94.0,,1.0,1.0,2.0,3.0,,
1680863680690,96.0,,1.0,1.0,2.0,1.0,,
1680863697658,51.0,,21.0,21.0,2.0,15.0,4.0,
1680863714631,10.0,,10.0,10.0,40.0,10.0,10.0,10.0
1680863731639,43.0,,32.0,32.0,3.0,13.0,2.0,
1680863748699,97.0,,1.0,1.0,2.0,,,
1680863766788,97.0,,1.0,1.0,1.0,1.0,,
