timestamp,ON_FOOT,WALKING,RUNNING,ON_BICYCLE,STILL,UNDEFINED,TILTING,IN_VEHICLE
1680907263493,91.0,91.0,6.0,1.0,1.0,1.0,,
1680907471984,,,,,,,100.0,
1680907472013,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680907509371,,,,,100.0,,,
1680907526363,13.0,13.0,,16.0,57.0,1.0,,9.0
1680907543448,4.0,4.0,,6.0,85.0,1.0,,2.0
1680907560436,16.0,16.0,1.0,27.0,35.0,2.0,,10.0
1680907577495,,,,,98.0,2.0,,
1680907594492,9.0,9.0,,9.0,76.0,3.0,,2.0
1680907611471,12.0,12.0,1.0,13.0,60.0,2.0,,6.0
1680907634505,1.0,1.0,,,96.0,1.0,,1.0
1680907651455,,,,,98.0,2.0,,
1680907668450,,,,1.0,97.0,2.0,,
1680907685402,9.0,9.0,,11.0,73.0,3.0,,2.0
1680907702401,15.0,15.0,1.0,23.0,40.0,2.0,,11.0
1680907719386,3.0,3.0,,6.0,80.0,2.0,,6.0
1680907736369,,,,,97.0,3.0,,
1680907753372,1.0,1.0,,1.0,96.0,2.0,,
1680907770340,2.0,2.0,,1.0,95.0,1.0,,1.0
1680907787351,,,,,98.0,2.0,,
1680907804352,,,,,98.0,2.0,,
1680907817470,1.0,1.0,,,97.0,,,1.0
1680907834451,1.0,1.0,,,97.0,2.0,,
1680907851451,1.0,1.0,,,96.0,2.0,,1.0
1680907868438,9.0,9.0,,10.0,64.0,2.0,,8.0
1680907885512,12.0,12.0,1.0,22.0,46.0,1.0,,10.0
1680907902532,1.0,1.0,,1.0,96.0,2.0,,
1680907919545,,,,,98.0,1.0,,1.0
1680907936522,,,,,97.0,2.0,,1.0
1680907953523,2.0,2.0,,1.0,96.0,1.0,,
1680907970477,,,,,98.0,1.0,,1.0
1680907987445,2.0,2.0,,3.0,89.0,2.0,,2.0
1680910425630,,,,,,,100.0,
1680910425654,,,,,100.0,,,
1680910855048,86.0,86.0,2.0,4.0,2.0,3.0,,2.0
1680910883961,,,,,100.0,,,
1680910900943,10.0,10.0,,5.0,70.0,2.0,,10.0
1680910917953,27.0,27.0,,10.0,32.0,3.0,,19.0
1680910934940,26.0,26.0,,7.0,46.0,2.0,,11.0
1680910951908,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680910968878,14.0,14.0,,8.0,63.0,2.0,,11.0
1680910985859,28.0,28.0,,7.0,51.0,2.0,,10.0
1680911002847,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911019870,21.0,21.0,,11.0,41.0,2.0,,20.0
1680911036918,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911053911,27.0,27.0,,17.0,36.0,3.0,,13.0
1680911070927,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911087925,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911104904,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911121922,27.0,27.0,,7.0,47.0,3.0,,12.0
1680911138905,18.0,18.0,,6.0,63.0,1.0,,7.0
1680911155917,12.0,12.0,,8.0,47.0,2.0,,24.0
1680911172939,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911189988,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911206954,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911219789,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911236749,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911253704,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911270685,29.0,29.0,1.0,17.0,41.0,1.0,,6.0
1680911287722,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911304716,27.0,27.0,,10.0,47.0,2.0,,9.0
1680911321690,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911338671,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911355654,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911372665,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911389650,10.0,10.0,10.0,10.0,10.0,40.0,,10.0
1680911402726,21.0,21.0,,9.0,54.0,1.0,,13.0
1680911419758,35.0,35.0,1.0,7.0,41.0,,,12.0
1680911686073,82.0,82.0,1.0,2.0,9.0,2.0,,3.0
1680911703033,97.0,97.0,,,,3.0,,
1680876778589,,,,,98.0,1.0,,1.0
1680876807555,,,,,100.0,,,
