timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680889387367,100.0,,,,,,,
1680889387432,,98.0,2.0,,,,,
1680889983560,,96.0,2.0,1.0,,,,
1680893100462,100.0,,,,,,,
1680893100476,,96.0,2.0,1.0,,,,
1680898475149,,100.0,,,,,,
1680898475750,,100.0,,,,,,
1680898476386,,100.0,,,,,,
1680898477098,,100.0,,,,,,
1680870968734,,51.0,2.0,22.0,16.0,16.0,3.0,
1680870985860,,96.0,2.0,1.0,,,,
1680871002901,,69.0,2.0,11.0,6.0,6.0,1.0,
1680871019957,,77.0,1.0,10.0,4.0,4.0,1.0,
1680871036990,100.0,,,,,,,
1680871037054,,44.0,2.0,23.0,14.0,14.0,3.0,
1680871054180,,48.0,1.0,24.0,16.0,16.0,3.0,
1680871071261,,73.0,3.0,12.0,9.0,9.0,1.0,
1680871083412,,62.0,2.0,14.0,16.0,16.0,2.0,
1680871108453,,40.0,1.0,24.0,22.0,22.0,5.0,
1680871125485,,100.0,,,,,,
1680871142572,,65.0,1.0,8.0,17.0,17.0,4.0,
1680871159579,,98.0,2.0,,,,,
1680871176582,,96.0,1.0,1.0,1.0,1.0,,
1680871193587,,96.0,1.0,1.0,1.0,1.0,,
1680871210647,,81.0,2.0,5.0,6.0,6.0,3.0,
1680871227791,100.0,,,,,,,
1680871227877,,73.0,1.0,6.0,15.0,15.0,2.0,
1680871245079,,45.0,2.0,19.0,21.0,21.0,1.0,
1680871262261,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680871283218,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680871300444,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680871317638,100.0,,,,,,,
1680871317693,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680871461025,100.0,,,,,,,
1680871461117,,99.0,1.0,,,,,
1680871478170,100.0,,,,,,,
1680871478242,,100.0,,,,,,
1680871495282,,99.0,1.0,,,,,
1680871512333,,19.0,2.0,71.0,2.0,2.0,,
1680871529392,,4.0,2.0,90.0,1.0,1.0,,
1680871546453,,99.0,1.0,,,,,
1680871563498,,98.0,1.0,1.0,,,,
1680871580550,,99.0,1.0,,,,,
1680871597610,,96.0,1.0,1.0,1.0,1.0,,
1680871614670,,60.0,2.0,17.0,5.0,5.0,,
1680871631708,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680871645695,,99.0,1.0,,,,,
1680871662726,,99.0,1.0,,,,,
1680871679768,,99.0,1.0,,,,,
1680871696825,,73.0,2.0,13.0,2.0,2.0,,
1680871713926,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680871730924,,6.0,2.0,81.0,9.0,9.0,,
1680871747938,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680871764979,100.0,,,,,,,
1680871764996,,53.0,1.0,18.0,14.0,14.0,3.0,
1680871781982,,80.0,1.0,4.0,8.0,8.0,6.0,
1680871799001,100.0,,,,,,,
1680871799047,,61.0,2.0,15.0,10.0,10.0,5.0,
1680871816060,100.0,,,,,,,
1680871816105,,97.0,1.0,1.0,1.0,1.0,,
1680871828571,,86.0,2.0,5.0,4.0,4.0,1.0,
1680871845607,,61.0,2.0,14.0,15.0,15.0,4.0,
1680871862627,,74.0,2.0,7.0,9.0,9.0,5.0,
1680871879602,100.0,,,,,,,
1680871879624,,65.0,3.0,12.0,6.0,6.0,11.0,
1680871916831,100.0,,,,,,,
1680871916854,,44.0,1.0,26.0,6.0,6.0,1.0,
1680871933907,,98.0,2.0,,,,,
1680872289446,,79.0,2.0,8.0,5.0,5.0,,
1680872371741,100.0,,,,,,,
1680872371788,,40.0,1.0,11.0,37.0,37.0,5.0,1.0
1680872405877,,100.0,,,,,,
1680872471785,100.0,,,,,,,
1680872471886,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872637433,100.0,,,,,,,
1680872637525,,44.0,1.0,23.0,11.0,11.0,2.0,
1680873347432,,100.0,,,,,,
1680874179868,100.0,,,,,,,
1680874179924,,48.0,2.0,37.0,5.0,5.0,1.0,
1680874217221,,62.0,1.0,21.0,4.0,4.0,1.0,
1680874234268,,90.0,1.0,8.0,1.0,1.0,,
1680877194082,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680877222933,,97.0,1.0,1.0,,,,
1680877239928,,70.0,1.0,13.0,5.0,5.0,1.0,
1680877256919,,43.0,2.0,23.0,20.0,20.0,3.0,
1680877273938,,31.0,2.0,28.0,24.0,24.0,4.0,
1680877290983,,54.0,2.0,19.0,20.0,20.0,2.0,
1680863057033,,97.0,2.0,1.0,,,,
1680863074007,,96.0,1.0,1.0,2.0,2.0,,
1680863090986,,96.0,2.0,1.0,1.0,1.0,,
1680863107959,,98.0,2.0,,,,,
1680863124950,,99.0,1.0,,,,,
1680863141958,,99.0,1.0,,,,,
1680863154892,,97.0,2.0,1.0,,,,
1680863171998,,99.0,1.0,,,,,
1680863188920,100.0,,,,,,,
1680863188969,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680863205973,100.0,,,,,,,
1680863206013,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680863223051,100.0,,,,,,,
1680863223127,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680863240158,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680863257189,,38.0,2.0,24.0,13.0,13.0,6.0,
1680863274180,100.0,,,,,,,
1680863274228,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680863291275,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680863308298,,98.0,2.0,,,,,
1680863325313,,98.0,2.0,,,,,
1680863337807,,65.0,1.0,6.0,10.0,10.0,13.0,1.0
1680863354812,,96.0,1.0,1.0,1.0,1.0,1.0,
1680863371813,,96.0,1.0,1.0,1.0,1.0,,
1680863388775,,98.0,1.0,1.0,,,,
1680863405805,,88.0,2.0,6.0,1.0,1.0,1.0,
1680863422825,,71.0,2.0,6.0,9.0,9.0,8.0,
1680863439846,,95.0,2.0,,1.0,1.0,2.0,
1680863456834,,90.0,1.0,1.0,2.0,2.0,6.0,
1680863473872,,99.0,1.0,,,,,
1680863491056,100.0,,,,,,,
1680863491215,,86.0,2.0,5.0,4.0,4.0,1.0,
1680863508316,,45.0,2.0,18.0,17.0,17.0,14.0,
1680863520700,,61.0,2.0,15.0,16.0,16.0,3.0,
1680863539027,,51.0,3.0,27.0,12.0,12.0,4.0,
1680863539032,100.0,,,,,,,
1680863555711,,39.0,2.0,6.0,29.0,29.0,21.0,1.0
1680863572702,,38.0,2.0,9.0,33.0,33.0,13.0,1.0
1680863589810,,35.0,2.0,10.0,28.0,28.0,15.0,1.0
1680863607009,100.0,,,,,,,
1680863607055,,84.0,2.0,5.0,6.0,6.0,2.0,
1680863624589,,98.0,1.0,1.0,,,,
1680863642155,,96.0,1.0,2.0,1.0,1.0,,
1680863659300,,90.0,2.0,5.0,2.0,2.0,,
1680863676391,,91.0,2.0,3.0,4.0,4.0,,
1680863693542,,99.0,1.0,,,,,
1680863710716,,97.0,1.0,,2.0,2.0,,
1680863727850,,99.0,1.0,,,,,
1680863744933,,99.0,1.0,,,,,
1680863762050,,100.0,,,,,,
1680863779093,,96.0,2.0,1.0,1.0,1.0,,
1680863796128,,97.0,1.0,1.0,1.0,1.0,,
1680870360577,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870397967,,37.0,2.0,20.0,23.0,23.0,6.0,
1680870415076,,40.0,3.0,18.0,24.0,24.0,4.0,
1680870432194,,51.0,3.0,18.0,15.0,15.0,5.0,
1680870449300,,92.0,2.0,3.0,1.0,1.0,,
1680870466366,,43.0,2.0,23.0,15.0,15.0,5.0,
1680870483413,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870500488,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870517612,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870534725,,83.0,2.0,5.0,6.0,6.0,1.0,
1680870551779,,35.0,2.0,26.0,18.0,18.0,2.0,
1680870568823,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870585885,,56.0,2.0,15.0,12.0,12.0,1.0,
1680870602950,,45.0,1.0,17.0,15.0,15.0,6.0,
1680870619966,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870637069,100.0,,,,,,,
1680870637181,,42.0,2.0,19.0,22.0,22.0,3.0,
1680870654275,100.0,,,,,,,
1680870654358,,73.0,3.0,9.0,11.0,11.0,1.0,
1680870671488,,44.0,2.0,16.0,19.0,19.0,3.0,
1680870688639,,53.0,2.0,16.0,14.0,14.0,4.0,
1680870705680,,52.0,2.0,17.0,14.0,14.0,4.0,
1680870717635,,42.0,2.0,29.0,18.0,18.0,2.0,
1680870734738,,96.0,1.0,1.0,1.0,1.0,,
1680870751807,,40.0,2.0,23.0,11.0,11.0,2.0,
1680870768835,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870786035,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680870803137,,99.0,1.0,,,,,
1680870820276,,84.0,1.0,10.0,,,,
1680870837550,,65.0,3.0,19.0,3.0,3.0,,
1680870854604,,67.0,2.0,12.0,6.0,6.0,3.0,
1680870871601,,100.0,,,,,,
1680870888629,,49.0,2.0,27.0,9.0,9.0,2.0,
1680870900537,,47.0,2.0,20.0,11.0,11.0,1.0,
1680870917550,,97.0,1.0,2.0,,,,
1680870934588,,37.0,2.0,29.0,15.0,15.0,7.0,
1680870951636,,67.0,2.0,14.0,11.0,11.0,2.0,
1680837083716,100.0,,,,,,,
