timestamp,STILL,IN_VEHICLE,UNDEFINED,TILTING,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680908469698,96.0,2.0,1.0,,,,,
1680908845767,,,,100.0,,,,
1680908845860,59.0,1.0,1.0,,37.0,37.0,1.0,1.0
1680908919851,,,,100.0,,,,
1680908920029,100.0,,,,,,,
1680910954373,99.0,,1.0,,,,,
1680910954376,,,,100.0,,,,
1680911413350,,,,100.0,,,,
1680911413364,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680911773296,,,,100.0,,,,
1680911773415,100.0,,,,,,,
1680870988165,,,1.0,,96.0,96.0,1.0,2.0
1680871005145,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680871022122,26.0,20.0,2.0,,23.0,23.0,16.0,1.0
1680871039098,96.0,1.0,2.0,,1.0,1.0,,
1680871061016,96.0,,2.0,,2.0,2.0,,
1680871078033,61.0,6.0,2.0,,26.0,26.0,3.0,
1680871523776,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680871540712,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680871557734,100.0,,,,,,,
1680872955545,100.0,,,,,,,
1680872972168,,,,100.0,,,,
1680872972259,100.0,,,,,,,
1680873179463,100.0,,,,,,,
1680863054444,,,,100.0,,,,
1680863054515,100.0,,,,,,,
1680863170476,,,,100.0,,,,
1680863170592,97.0,,2.0,,,,1.0,
1680863204088,,,,100.0,,,,
1680863204092,100.0,,,,,,,
1680863221278,100.0,,,,,,,
1680863238447,98.0,,1.0,,1.0,1.0,,
1680863255655,97.0,1.0,1.0,,,,,
1680863272830,97.0,,2.0,,1.0,1.0,,
1680863290209,100.0,,,,,,,
1680863307309,99.0,,1.0,,,,,
1680863324563,57.0,15.0,1.0,,11.0,11.0,4.0,
1680863373819,100.0,,,,,,,
1680863390982,100.0,,,,,,,
1680863408140,97.0,1.0,2.0,,,,,
1680863425299,97.0,1.0,1.0,,1.0,1.0,,
1680863455674,100.0,,,,,,,
1680863472955,,,,100.0,,,,
1680863472994,100.0,,,,,,,
1680863495002,99.0,,1.0,,,,,
1680863512038,100.0,,,,,,,
1680863529278,72.0,3.0,2.0,,12.0,12.0,11.0,
1680864540859,,,,100.0,,,,
1680864540898,100.0,,,,,,,
1680865063668,,,,100.0,,,,
1680865063729,99.0,1.0,,,,,,
1680866025139,,,,100.0,,,,
1680866025186,100.0,,,,,,,
1680866308906,100.0,,,,,,,
1680868032143,99.0,,1.0,,,,,
1680870607938,99.0,,1.0,,,,,
1680870718921,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680870757068,,,,100.0,,,,
1680870757173,1.0,1.0,2.0,,89.0,89.0,4.0,3.0
1680870902643,,,,100.0,,,,
1680870902701,2.0,2.0,3.0,,86.0,86.0,3.0,2.0
1680870919842,1.0,,1.0,,95.0,95.0,1.0,2.0
1680870937050,1.0,,2.0,,94.0,94.0,1.0,2.0
1680870954271,2.0,,2.0,,91.0,91.0,3.0,2.0
1680838062899,,,,100.0,,,,
