timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING
1680894538810,100.0,,,,,,,
1680894538812,,100.0,,,,,,
1680901770110,,100.0,,,,,,
1680910324819,,100.0,,,,,,
1680872011023,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872048400,,100.0,,,,,,
1680872065434,100.0,,,,,,,
1680872065475,,31.0,2.0,24.0,4.0,28.0,28.0,
1680872082457,100.0,,,,,,,
1680872082492,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872115146,,39.0,2.0,10.0,6.0,33.0,33.0,1.0
1680872152438,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872176752,,72.0,1.0,17.0,1.0,3.0,3.0,
1680872193716,,50.0,3.0,21.0,1.0,6.0,6.0,
1680872210743,,49.0,2.0,25.0,2.0,13.0,13.0,
1680872227741,,56.0,1.0,28.0,1.0,6.0,6.0,
1680872244768,,87.0,2.0,5.0,,5.0,5.0,
1680872261757,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872278730,,79.0,1.0,8.0,1.0,5.0,5.0,
1680872295730,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872312736,,54.0,1.0,16.0,6.0,14.0,14.0,
1680872329711,,37.0,2.0,32.0,3.0,6.0,6.0,
1680872346677,,96.0,2.0,1.0,,,,
1680872363632,,100.0,,,,,,
1680872380590,,96.0,1.0,2.0,,,,
1680872397572,,48.0,2.0,25.0,3.0,13.0,13.0,
1680872415342,,61.0,3.0,18.0,2.0,12.0,12.0,
1680872432234,,96.0,1.0,1.0,,1.0,1.0,
1680872449256,,97.0,1.0,1.0,,1.0,1.0,
1680872466254,,66.0,1.0,16.0,2.0,5.0,5.0,
1680872480140,,92.0,1.0,3.0,1.0,1.0,1.0,
1680872497156,,47.0,2.0,25.0,4.0,13.0,13.0,
1680872514107,,97.0,2.0,1.0,,,,
1680872531109,,96.0,1.0,1.0,,1.0,1.0,
1680872548136,,40.0,2.0,14.0,4.0,26.0,26.0,
1680872565162,,32.0,1.0,23.0,5.0,24.0,24.0,1.0
1680872582186,,36.0,1.0,10.0,11.0,35.0,35.0,
1680872599141,,96.0,1.0,1.0,,1.0,1.0,
1680872616079,,96.0,1.0,1.0,,1.0,1.0,
1680872633042,,54.0,2.0,29.0,1.0,7.0,7.0,
1680872650044,,74.0,2.0,8.0,2.0,12.0,12.0,
1680872666996,,97.0,1.0,1.0,,1.0,1.0,
1680872683955,,54.0,2.0,17.0,2.0,20.0,20.0,
1680872700920,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872717895,,67.0,2.0,15.0,3.0,5.0,5.0,
1680872734880,,99.0,1.0,,,,,
1680872752561,,97.0,2.0,,,1.0,1.0,
1680872769533,,67.0,1.0,11.0,2.0,15.0,15.0,
1680872783800,,80.0,2.0,6.0,1.0,6.0,6.0,
1680872800766,,38.0,1.0,27.0,3.0,20.0,20.0,
1680872817759,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872834722,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872851732,,96.0,1.0,1.0,,1.0,1.0,
1680872868756,,62.0,,21.0,2.0,8.0,8.0,
1680872885728,,97.0,1.0,2.0,,,,
1680872902737,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872919716,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680872936665,,97.0,2.0,1.0,,,,
1680872953628,,73.0,2.0,14.0,1.0,6.0,6.0,
1680872970599,,81.0,2.0,6.0,1.0,7.0,7.0,
1680872987544,,97.0,1.0,1.0,,1.0,1.0,
1680873004580,,58.0,2.0,17.0,2.0,13.0,13.0,
1680873021568,,98.0,1.0,1.0,,,,
1680873038546,,96.0,1.0,2.0,,1.0,1.0,
1680873055503,,97.0,2.0,,,1.0,1.0,
1680873072492,,79.0,2.0,7.0,1.0,8.0,8.0,
1680873087205,,92.0,2.0,3.0,,1.0,1.0,
1680873104153,,98.0,2.0,,,,,
1680873121149,,61.0,2.0,22.0,1.0,9.0,9.0,
