timestamp,STILL,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,UNDEFINED,RUNNING,TILTING
1680889053763,37.0,24.0,23.0,23.0,6.0,2.0,,
1680889081991,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680889097053,59.0,12.0,7.0,7.0,15.0,2.0,,
1680889112128,96.0,2.0,,,,2.0,,
1680889127200,99.0,,,,,1.0,,
1680889142332,64.0,27.0,2.0,2.0,,1.0,,
1680889157411,50.0,31.0,5.0,5.0,3.0,3.0,,
1680889172560,72.0,12.0,3.0,3.0,4.0,3.0,,
1680889187729,55.0,26.0,4.0,4.0,3.0,2.0,,
1680889202867,99.0,,,,,1.0,,
1680889217938,96.0,1.0,1.0,1.0,,1.0,,
1680889228520,99.0,,,,,1.0,,
1680889243583,99.0,,,,,1.0,,
1680889260088,99.0,,,,,1.0,,
1680889275224,96.0,1.0,1.0,1.0,,1.0,,
1680889290286,96.0,2.0,1.0,1.0,,,,
1680889305406,97.0,1.0,,,,2.0,,
1680889320481,98.0,,,,,2.0,,
1680889337044,96.0,1.0,1.0,1.0,,1.0,,
1680889352112,96.0,1.0,1.0,1.0,,1.0,,
1680889368499,97.0,1.0,1.0,1.0,,1.0,,
1680889383650,97.0,1.0,1.0,1.0,,1.0,,
1680889398745,96.0,1.0,,,,3.0,,
1680889413833,96.0,1.0,1.0,1.0,,2.0,,
1680889428952,98.0,1.0,,,,1.0,,
1680889444072,70.0,18.0,4.0,4.0,3.0,2.0,,
1680889459213,44.0,32.0,11.0,11.0,5.0,2.0,,
1680889474322,53.0,37.0,1.0,1.0,1.0,2.0,,
1680889489438,10.0,10.0,10.0,10.0,10.0,40.0,10.0,
1680889504573,96.0,3.0,,,,1.0,,
1680889519709,85.0,4.0,5.0,5.0,1.0,2.0,,
1680889534866,80.0,4.0,8.0,8.0,3.0,2.0,,
1680889550019,99.0,,,,,1.0,,
1680889565137,99.0,,,,,1.0,,
1680889580256,99.0,,,,,1.0,,
1680889595407,74.0,8.0,8.0,8.0,2.0,1.0,,
1680889610571,53.0,10.0,12.0,12.0,13.0,3.0,,
1680889625693,99.0,,,,,1.0,,
1680889641244,65.0,14.0,6.0,6.0,1.0,2.0,,
1680889656327,61.0,7.0,16.0,16.0,9.0,2.0,,
1680889671453,72.0,6.0,11.0,11.0,6.0,2.0,,
1680889686569,97.0,1.0,,,,2.0,,
1680889701636,99.0,,,,,1.0,,
1680889716705,97.0,,1.0,1.0,,2.0,,
1680889731863,98.0,1.0,,,,1.0,,
1680889747024,,,,,,,,100.0
1680889747050,84.0,3.0,6.0,6.0,3.0,3.0,,
1680889762201,,,,,,,,100.0
1680889762234,90.0,1.0,5.0,5.0,2.0,2.0,,
