timestamp,STILL,TILTING,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING
1680909038346,100.0,,,,,,,
1680909785958,,100.0,,,,,,
1680909785963,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680909820081,,100.0,,,,,,
1680909820206,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680909837334,55.0,,1.0,4.0,7.0,31.0,31.0,
1680909854476,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680909871542,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680909888661,58.0,,2.0,12.0,2.0,21.0,21.0,
1680909909561,98.0,,1.0,,,1.0,1.0,
1680909926539,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680909943831,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680909961120,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680909983951,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910001230,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910018266,2.0,,1.0,75.0,4.0,3.0,3.0,
1680910035474,2.0,,3.0,75.0,,7.0,7.0,
1680910052771,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910070066,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910089428,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910106867,38.0,,2.0,24.0,2.0,12.0,12.0,
1680910124116,47.0,,2.0,28.0,5.0,11.0,11.0,
1680910141268,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910169208,57.0,,3.0,14.0,2.0,14.0,14.0,
1680910186700,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910203957,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910221186,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910238349,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910255378,29.0,,1.0,15.0,20.0,25.0,25.0,1.0
1680910272705,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910290175,41.0,,1.0,26.0,5.0,16.0,16.0,
1680910307361,65.0,,2.0,10.0,7.0,9.0,9.0,
1680910324590,49.0,,3.0,18.0,5.0,10.0,10.0,
1680910341834,37.0,,1.0,14.0,16.0,22.0,22.0,1.0
1680910359131,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910376484,1.0,,,86.0,,,,
1680910396050,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910413340,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910430628,98.0,,2.0,,,,,
1680910447798,40.0,,2.0,14.0,10.0,22.0,22.0,
1680910464812,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910486748,,100.0,,,,,,
1680910486783,53.0,,2.0,17.0,12.0,11.0,11.0,
1680910503960,96.0,,2.0,1.0,,1.0,1.0,
1680910521169,98.0,,2.0,,,,,
1680910541965,99.0,,1.0,,,,,
1680910559126,99.0,,1.0,,,,,
1680910593136,100.0,,,,,,,
1680910610180,74.0,,3.0,6.0,1.0,14.0,14.0,
1680910627169,91.0,,2.0,1.0,,6.0,6.0,
1680910644331,60.0,,3.0,4.0,2.0,28.0,28.0,
1680910661595,,100.0,,,,,,
1680910661735,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910678822,,100.0,,,,,,
1680910678943,100.0,,,,,,,
1680910697963,,100.0,,,,,,
1680910697975,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910713327,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910724786,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910742164,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910759581,76.0,,1.0,7.0,,15.0,15.0,
1680910777014,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910794378,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910811795,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910829073,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910846483,93.0,,2.0,,,5.0,5.0,
1680910863860,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910881247,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910898624,51.0,,2.0,9.0,1.0,36.0,36.0,
1680910916075,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910933267,14.0,,4.0,,5.0,64.0,13.0,64.0
1680910950545,4.0,,2.0,1.0,2.0,61.0,30.0,61.0
1680910967760,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680910985016,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911002400,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911021168,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911037173,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911054525,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911071912,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911089344,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911106756,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911124147,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911141330,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911158784,,100.0,,,,,,
1680911158850,62.0,,2.0,4.0,2.0,27.0,27.0,
1680911176063,99.0,,1.0,,,,,
1680911193259,99.0,,1.0,,,,,
1680911210482,99.0,,1.0,,,,,
1680911227672,99.0,,1.0,,,,,
1680911244829,99.0,,1.0,,,,,
1680911262423,99.0,,1.0,,,,,
1680911280400,99.0,,1.0,,,,,
1680911297520,99.0,,1.0,,,,,
1680911314692,99.0,,1.0,,,,,
1680911333543,99.0,,1.0,,,,,
1680911350735,100.0,,,,,,,
1680911367891,99.0,,1.0,,,,,
1680911385188,99.0,,1.0,,,,,
1680911402292,99.0,,1.0,,,,,
1680911420387,99.0,,1.0,,,,,
1680911437546,99.0,,1.0,,,,,
1680911456418,99.0,,1.0,,,,,
1680911482022,99.0,,1.0,,,,,
1680911498598,99.0,,1.0,,,,,
1680911515758,,100.0,,,,,,
1680911515934,97.0,,2.0,,,1.0,1.0,
1680911533097,,100.0,,,,,,
1680911533239,53.0,,2.0,3.0,1.0,41.0,41.0,
1680911551342,4.0,,3.0,1.0,1.0,88.0,88.0,3.0
1680911569422,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911586891,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911604106,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680911621235,,100.0,,,,,,
1680911621332,60.0,,2.0,1.0,1.0,35.0,35.0,
1680911640238,99.0,,1.0,,,,,
1680911664234,99.0,,1.0,,,,,
1680911681412,99.0,,1.0,,,,,
1680911701806,99.0,,1.0,,,,,
1680911718664,99.0,,1.0,,,,,
1680911735820,100.0,,,,,,,
1680911753027,100.0,,,,,,,
1680911770368,99.0,,1.0,,,,,
1680911792566,100.0,,,,,,,
1680911809897,100.0,,,,,,,
1680911827303,99.0,,1.0,,,,,
1680911844499,99.0,,1.0,,,,,
1680911862316,99.0,,1.0,,,,,
1680911879505,99.0,,1.0,,,,,
1680911896751,99.0,,1.0,,,,,
1680911914389,99.0,,1.0,,,,,
1680911931785,99.0,,1.0,,,,,
1680911949351,99.0,,1.0,,,,,
1680911966553,99.0,,1.0,,,,,
1680911983856,99.0,,1.0,,,,,
1680871303585,,100.0,,,,,,
1680871303777,99.0,,1.0,,,,,
1680872440528,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680872478144,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680872495334,99.0,,1.0,,,,,
1680872512593,99.0,,1.0,,,,,
1680873042669,,100.0,,,,,,
1680873042694,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680873443469,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680874023654,100.0,,,,,,,
1680874041355,99.0,,1.0,,,,,
1680874058444,58.0,,1.0,19.0,3.0,4.0,4.0,
1680874075675,80.0,,2.0,10.0,1.0,2.0,2.0,
1680874093057,55.0,,2.0,22.0,3.0,1.0,1.0,
1680874110509,37.0,,2.0,33.0,3.0,4.0,4.0,
1680874127943,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680874145337,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680874167602,100.0,,,,,,,
1680874184845,29.0,,2.0,25.0,3.0,21.0,21.0,
1680874196737,96.0,,1.0,1.0,,1.0,1.0,
1680874213923,96.0,,1.0,1.0,,1.0,1.0,
1680874231062,97.0,,1.0,1.0,,,,
1680874248253,100.0,,,,,,,
1680874265552,97.0,,2.0,1.0,,,,
1680874282572,100.0,,,,,,,
1680874299593,98.0,,1.0,1.0,,,,
1680874316655,98.0,,1.0,1.0,,,,
1680874333750,97.0,,2.0,1.0,,,,
1680874351015,63.0,,2.0,23.0,1.0,2.0,2.0,
1680874368241,49.0,,2.0,21.0,2.0,7.0,7.0,
1680874379680,53.0,,2.0,15.0,2.0,16.0,16.0,
1680874396945,99.0,,1.0,,,,,
1680874414176,99.0,,1.0,,,,,
1680874431400,99.0,,1.0,,,,,
1680874448601,,100.0,,,,,,
1680874448630,69.0,,1.0,10.0,3.0,8.0,8.0,
1680874465797,67.0,,2.0,7.0,12.0,8.0,8.0,
1680874482996,98.0,,2.0,,,,,
1680874500184,96.0,,1.0,1.0,,1.0,1.0,
1680874517208,98.0,,2.0,,,,,
1680874534238,100.0,,,,,,,
1680874551265,97.0,,2.0,1.0,,,,
1680874562422,99.0,,1.0,,,,,
1680874579461,62.0,,3.0,20.0,1.0,3.0,3.0,
1680874596685,74.0,,2.0,6.0,5.0,8.0,8.0,
1680874613957,,100.0,,,,,,
1680874614035,98.0,,2.0,,,,,
1680874634507,99.0,,1.0,,,,,
1680874639584,100.0,,,,,,,
1680874656650,,100.0,,,,,,
1680874656758,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680874673796,99.0,,1.0,,,,,
1680874690841,97.0,,1.0,1.0,,,,
1680874707878,98.0,,2.0,,,,,
1680874725088,97.0,,2.0,1.0,,,,
1680874742295,96.0,,1.0,1.0,,1.0,1.0,
1680874759542,98.0,,2.0,,,,,
1680874776771,98.0,,2.0,,,,,
1680874793981,86.0,,1.0,4.0,1.0,4.0,4.0,
1680874811206,83.0,,2.0,8.0,1.0,4.0,4.0,
1680874827727,100.0,,,,,,,
1680874845015,54.0,,3.0,5.0,5.0,28.0,28.0,
1680874862224,97.0,,1.0,,,2.0,2.0,
1680874879448,,100.0,,,,,,
1680874879548,84.0,,1.0,3.0,2.0,8.0,8.0,
1680874896779,70.0,,2.0,20.0,,1.0,1.0,
1680874913809,97.0,,2.0,1.0,,,,
1680874930840,96.0,,1.0,1.0,,1.0,1.0,
1680874947873,97.0,,1.0,1.0,,1.0,1.0,
1680874964961,97.0,,2.0,1.0,,,,
1680874982217,96.0,,1.0,3.0,,,,
1680875005528,98.0,,2.0,,,,,
1680875022765,,100.0,,,,,,
1680875022820,80.0,,1.0,4.0,1.0,13.0,13.0,
1680875040090,99.0,,1.0,,,,,
1680875057317,96.0,,2.0,,,2.0,2.0,
1680875074546,99.0,,1.0,,,,,
1680875091813,96.0,,1.0,1.0,,1.0,1.0,
1680875109118,98.0,,2.0,,,,,
1680875126306,100.0,,,,,,,
1680875143583,100.0,,,,,,,
1680875160896,99.0,,1.0,,,,,
1680863148927,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863283523,97.0,,2.0,1.0,,,,
1680863312717,100.0,,,,,,,
1680863381936,,100.0,,,,,,
1680863382087,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680863955729,,100.0,,,,,,
1680863955894,100.0,,,,,,,
1680865267303,74.0,,2.0,6.0,2.0,10.0,10.0,
1680867174794,35.0,,2.0,16.0,7.0,32.0,32.0,1.0
1680867929821,,100.0,,,,,,
1680867929821,40.0,,2.0,33.0,1.0,15.0,15.0,
1680868136947,,100.0,,,,,,
1680868137027,44.0,,2.0,29.0,4.0,7.0,7.0,
1680868288417,67.0,,3.0,9.0,4.0,12.0,12.0,
1680868549335,51.0,,1.0,19.0,5.0,12.0,12.0,
1680869724626,,100.0,,,,,,
1680869724669,41.0,,3.0,25.0,3.0,10.0,10.0,
1680869762070,30.0,,2.0,19.0,14.0,19.0,19.0,1.0
1680870044301,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
1680870061349,10.0,,40.0,10.0,10.0,10.0,10.0,10.0
